Tipo       | Soma       | Ciclos         | Ciclos        
           |            | (AD_2xEP_1xRE) | (AD_4xEP_1xRE)
---------- | ---------- | -------------- | --------------
Regular    | 1          | 1              | 1             
Bypass     | 28         | 14             | 7             
Regular    | 27         | 27             | 27            
Bypass     | 1          | 1              | 1             
Regular    | 28         | 28             | 28            
Bypass     | 25         | 13             | 7             
Regular    | 11         | 11             | 11            
Bypass     | 4          | 2              | 1             
Regular    | 4          | 4              | 4             
Bypass     | 2          | 1              | 1             
Regular    | 59         | 59             | 59            
Bypass     | 1          | 1              | 1             
Regular    | 12         | 12             | 12            
Bypass     | 2          | 1              | 1             
Regular    | 21         | 21             | 21            
Bypass     | 9          | 5              | 3             
Regular    | 36         | 36             | 36            
Bypass     | 13         | 7              | 4             
Regular    | 48         | 48             | 48            
Bypass     | 18         | 9              | 5             
Regular    | 4          | 4              | 4             
Bypass     | 2          | 1              | 1             
Regular    | 10         | 10             | 10            
Bypass     | 1          | 1              | 1             
Regular    | 17         | 17             | 17            
Bypass     | 8          | 4              | 2             
Regular    | 27         | 27             | 27            
Bypass     | 8          | 4              | 2             
Regular    | 4          | 4              | 4             
Bypass     | 1          | 1              | 1             
Regular    | 8          | 8              | 8             
Bypass     | 1          | 1              | 1             
Regular    | 1          | 1              | 1             
Bypass     | 1          | 1              | 1             
Regular    | 24         | 24             | 24            
Bypass     | 8          | 4              | 2             
Regular    | 40         | 40             | 40            
Bypass     | 9          | 5              | 3             
Regular    | 10         | 10             | 10            
Bypass     | 1          | 1              | 1             
Regular    | 5          | 5              | 5             
Bypass     | 1          | 1              | 1             
Regular    | 125        | 125            | 125           
Bypass     | 6          | 3              | 2             
Regular    | 10         | 10             | 10            
Bypass     | 1          | 1              | 1             
Regular    | 5          | 5              | 5             
Bypass     | 2          | 1              | 1             
Regular    | 30         | 30             | 30            
Bypass     | 11         | 6              | 3             
Regular    | 8          | 8              | 8             
Bypass     | 1          | 1              | 1             
Regular    | 15         | 15             | 15            
Bypass     | 4          | 2              | 1             
Regular    | 37         | 37             | 37            
Bypass     | 10         | 5              | 3             
Regular    | 22         | 22             | 22            
Bypass     | 3          | 2              | 1             
Regular    | 35         | 35             | 35            
Bypass     | 9          | 5              | 3             
Regular    | 7          | 7              | 7             
Bypass     | 3          | 2              | 1             
Regular    | 5          | 5              | 5             
Bypass     | 1          | 1              | 1             
Regular    | 40         | 40             | 40            
Bypass     | 16         | 8              | 4             
Regular    | 18         | 18             | 18            
Bypass     | 4          | 2              | 1             
Regular    | 35         | 35             | 35            
Bypass     | 10         | 5              | 3             
Regular    | 13         | 13             | 13            
Bypass     | 3          | 2              | 1             
Regular    | 36         | 36             | 36            
Bypass     | 6          | 3              | 2             
Regular    | 16         | 16             | 16            
Bypass     | 2          | 1              | 1             
Regular    | 9          | 9              | 9             
Bypass     | 1          | 1              | 1             
Regular    | 5          | 5              | 5             
Bypass     | 1          | 1              | 1             
Regular    | 12         | 12             | 12            
Bypass     | 1          | 1              | 1             
Regular    | 16         | 16             | 16            
Bypass     | 5          | 3              | 2             
Regular    | 40         | 40             | 40            
Bypass     | 16         | 8              | 4             
Regular    | 18         | 18             | 18            
Bypass     | 1          | 1              | 1             
Regular    | 24         | 24             | 24            
Bypass     | 7          | 4              | 2             
Regular    | 32         | 32             | 32            
Bypass     | 24         | 12             | 6             
Regular    | 5          | 5              | 5             
Bypass     | 6          | 3              | 2             
Regular    | 10         | 10             | 10            
Bypass     | 1          | 1              | 1             
Regular    | 18         | 18             | 18            
Bypass     | 7          | 4              | 2             
Regular    | 28         | 28             | 28            
Bypass     | 8          | 4              | 2             
Regular    | 6          | 6              | 6             
Bypass     | 6          | 3              | 2             
Regular    | 32         | 32             | 32            
Bypass     | 27         | 14             | 7             
Regular    | 29         | 29             | 29            
Bypass     | 9          | 5              | 3             
Regular    | 30         | 30             | 30            
Bypass     | 3          | 2              | 1             
Regular    | 17         | 17             | 17            
Bypass     | 6          | 3              | 2             
Regular    | 4          | 4              | 4             
Bypass     | 4          | 2              | 1             
Regular    | 14         | 14             | 14            
Bypass     | 1          | 1              | 1             
Regular    | 55         | 55             | 55            
Bypass     | 1          | 1              | 1             
Regular    | 32         | 32             | 32            
Bypass     | 2          | 1              | 1             
Regular    | 5          | 5              | 5             
Bypass     | 6          | 3              | 2             
Regular    | 14         | 14             | 14            
Bypass     | 2          | 1              | 1             
Regular    | 7          | 7              | 7             
Bypass     | 1          | 1              | 1             
Regular    | 24         | 24             | 24            
Bypass     | 9          | 5              | 3             
Regular    | 12         | 12             | 12            
Bypass     | 1          | 1              | 1             
Regular    | 7          | 7              | 7             
Bypass     | 1          | 1              | 1             
Regular    | 28         | 28             | 28            
Bypass     | 11         | 6              | 3             
Regular    | 6          | 6              | 6             
Bypass     | 3          | 2              | 1             
Regular    | 23         | 23             | 23            
Bypass     | 7          | 4              | 2             
Regular    | 13         | 13             | 13            
Bypass     | 3          | 2              | 1             
Regular    | 3          | 3              | 3             
Bypass     | 6          | 3              | 2             
Regular    | 57         | 57             | 57            
Bypass     | 2          | 1              | 1             
Regular    | 4          | 4              | 4             
Bypass     | 6          | 3              | 2             
Regular    | 38         | 38             | 38            
Bypass     | 6          | 3              | 2             
Regular    | 37         | 37             | 37            
Bypass     | 6          | 3              | 2             
Regular    | 66         | 66             | 66            
Bypass     | 6          | 3              | 2             
Regular    | 11         | 11             | 11            
Bypass     | 1          | 1              | 1             
Regular    | 11         | 11             | 11            
Bypass     | 5          | 3              | 2             
Regular    | 36         | 36             | 36            
Bypass     | 11         | 6              | 3             
Regular    | 16         | 16             | 16            
